entity,year_2004,year_2005,year_2006,year_2007,year_2008,year_2009,year_2010,year_2011,year_2012,year_2013,year_2014,year_2015,year_2016,year_2017,year_2018,year_2019,year_2020
Jobs,0.859,0.745,0.708,0.790,0.861,0.926,0.944,1.000,0.935,0.813,0.935,0.947,0.927,0.851,0.914,0.953,0.9
taxes,0.533,0.765,0.755,0.565,0.800,0.639,0.736,0.664,0.759,0.618,0.662,0.604,0.499,0.579,0.928,0.760,0.8
Oil,0.000,0.000,0.157,0.139,0.150,0.164,0.146,0.182,0.198,0.208,0.251,0.294,0.322,0.000,0.345,0.000,0.7
Mexico,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.188,0.000,0.000,0.000,0.323,0.6
Abortion,0.000,0.000,0.053,0.000,0.000,0.000,0.033,0.000,0.000,0.033,0.032,0.029,0.025,0.000,0.000,0.294,0.5
Prison,0.093,0.000,0.000,0.099,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.178,0.202,0.000,0.213,0.277,0.4
war,0.405,0.355,0.298,0.260,0.217,0.242,0.213,0.184,0.184,0.186,0.166,0.203,0.173,0.204,0.000,0.214,0.3
Crime,0.108,0.113,0.102,0.000,0.000,0.000,0.096,0.000,0.000,0.000,0.000,0.091,0.000,0.117,0.000,0.181,0.2
drugs,0.144,0.138,0.121,0.115,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.141,0.132,0.000,0.158,0.1
Education,0.429,0.388,0.000,0.000,0.297,0.340,0.321,0.260,0.234,0.205,0.207,0.215,0.185,0.193,0.000,0.157,0
energy,0.111,0.114,0.137,0.118,0.135,0.163,0.152,0.148,0.141,0.139,0.132,0.141,0.140,0.000,0.148,0.146,0
China,0.000,0.000,0.166,0.000,0.146,0.135,0.135,0.133,0.112,0.101,0.105,0.109,0.109,0.000,0.107,0.128,0
Border,0.035,0.039,0.037,0.029,0.030,0.000,0.029,0.026,0.026,0.025,0.022,0.028,0.024,0.034,0.033,0.120,0
NAFTA,0.005,0.005,0.003,0.004,0.005,0.004,0.003,0.002,0.003,0.003,0.002,0.002,0.002,0.005,0.004,0.113,0
MS-13,0.000,0.000,0.010,0.002,0.003,0.002,0.002,0.001,0.001,0.002,0.001,0.001,0.001,0.001,0.087,0.112,0
Military,0.134,0.124,0.121,0.122,0.113,0.000,0.125,0.115,0.113,0.113,0.108,0.104,0.109,0.111,0.110,0.110,0
immigration,0.079,0.086,0.078,0.083,0.076,0.000,0.056,0.056,0.056,0.064,0.073,0.057,0.055,0.142,0.116,0.108,0
Venezuela,0.022,0.022,0.027,0.022,0.000,0.000,0.000,0.015,0.020,0.023,0.028,0.021,0.018,0.017,0.019,0.104,0
trade,0.123,0.000,0.090,0.000,0.102,0.000,0.096,0.092,0.086,0.082,0.082,0.092,0.000,0.090,0.095,0.098,0
unemployment,0.000,0.054,0.000,0.055,0.000,0.160,0.150,0.000,0.156,0.099,0.170,0.097,0.081,0.058,0.084,0.088,0
Health Care,0.137,0.121,0.106,0.120,0.121,0.123,0.138,0.124,0.109,0.104,0.113,0.117,0.110,0.111,0.128,0.080,0
Russia,0.000,0.000,0.000,0.000,0.000,0.000,0.062,0.000,0.050,0.051,0.000,0.070,0.067,0.000,0.082,0.080,0
economy,0.065,0.070,0.061,0.050,0.092,0.108,0.057,0.053,0.053,0.051,0.049,0.059,0.058,0.058,0.061,0.079,0
Wages,0.000,0.041,0.040,0.055,0.044,0.045,0.042,0.042,0.047,0.151,0.000,0.074,0.065,0.059,0.068,0.078,0
Israelis,0.000,0.048,0.067,0.048,0.042,0.042,0.000,0.000,0.036,0.031,0.033,0.041,0.000,0.035,0.037,0.054,0
ICE,0.000,0.004,0.003,0.006,0.004,0.005,0.004,0.006,0.005,0.004,0.005,0.003,0.005,0.012,0.011,0.048,0
Manufacturing,0.160,0.127,0.000,0.000,0.000,0.000,0.000,0.065,0.064,0.056,0.058,0.054,0.053,0.058,0.054,0.045,0
